VARIABLE,ESPECIFICACIÓN,ESPEC_en,VALORES,CODE,VALUE,VALUE_en
VNOPUBLICO,¿Por qué no ha utilizado el transporte público en este viaje (cualquiera de sus etapas)?,Why you have not used public transport on this trip (any stage)?,4.    Necesito mi vehículo para trabajar o gestión personal,4,    Necesito mi vehículo para trabajar o gestión personal,I need my car to work or personal management
VNOPUBLICO,¿Por qué no ha utilizado el transporte público en este viaje (cualquiera de sus etapas)?,Why you have not used public transport on this trip (any stage)?,5.    Tardo más,5,    Tardo más,It takes me more
VNOPUBLICO,¿Por qué no ha utilizado el transporte público en este viaje (cualquiera de sus etapas)?,Why you have not used public transport on this trip (any stage)?,6.    Es más caro,6,    Es más caro,It is more expensive
VNOPUBLICO,¿Por qué no ha utilizado el transporte público en este viaje (cualquiera de sus etapas)?,Why you have not used public transport on this trip (any stage)?,7.    Más incómodo,7,    Más incómodo,More uncomfortable
VNOPUBLICO,¿Por qué no ha utilizado el transporte público en este viaje (cualquiera de sus etapas)?,Why you have not used public transport on this trip (any stage)?,8.    No me gusta el tte. público,8,    No me gusta el tte. público,I do not like tte. public
VNOPUBLICO,¿Por qué no ha utilizado el transporte público en este viaje (cualquiera de sus etapas)?,Why you have not used public transport on this trip (any stage)?,9.    Mi situación personal condiciona esta elección modal,9,Mi situación personal condiciona esta elección modal,My personal situation determines the modal choice
VNOPUBLICO,¿Por qué no ha utilizado el transporte público en este viaje (cualquiera de sus etapas)?,Why you have not used public transport on this trip (any stage)?,10. El destino está muy cerca,10,El destino está muy cerca,The destination is very close
VNOPUBLICO,¿Por qué no ha utilizado el transporte público en este viaje (cualquiera de sus etapas)?,Why you have not used public transport on this trip (any stage)?,11. Prefiero ir andando / en bicicleta,11,Prefiero ir andando / en bicicleta,I prefer to walk / bike
VNOPUBLICO,¿Por qué no ha utilizado el transporte público en este viaje (cualquiera de sus etapas)?,Why you have not used public transport on this trip (any stage)?,12. Otros,12, Otros,Others
VORIZT1259,Origen. Zona 1259,Origin. 1259 area,,,,
VDESZT1259,Destino. Zona 1259,Destination. 1259 area,,,,
TIPO_ENCUESTA,Tipo de encuesta,Type of survey,,,,
N_ETAPAS_POR_VIAJE,Nº de etapas por viaje,Number of stages per trip,,,,
MOTIVO_PRIORITARIO,Motivo prioritario del viaje,Priority reason for the trip,1. Casa,1,Casa,House
MOTIVO_PRIORITARIO,Motivo prioritario del viaje,Priority reason for the trip,2. Trabajo,2,Trabajo,Job
MOTIVO_PRIORITARIO,Motivo prioritario del viaje,Priority reason for the trip,3. Gestión de trabajo,3,Gestión de trabajo,Work Management
MOTIVO_PRIORITARIO,Motivo prioritario del viaje,Priority reason for the trip,4. Estudio,4,Estudio,study
MOTIVO_PRIORITARIO,Motivo prioritario del viaje,Priority reason for the trip,5. Compras,5,Compras,Purchases
MOTIVO_PRIORITARIO,Motivo prioritario del viaje,Priority reason for the trip,6. Médico,6,Médico,Doctor
MOTIVO_PRIORITARIO,Motivo prioritario del viaje,Priority reason for the trip,7. Acompañamiento a otra persona,7,Acompañamiento a otra persona,Accompanying another person
MOTIVO_PRIORITARIO,Motivo prioritario del viaje,Priority reason for the trip,8. Ocio,8,Ocio,Leisure
MOTIVO_PRIORITARIO,Motivo prioritario del viaje,Priority reason for the trip,9. Deporte/ dar un paseo,9,Deporte/ dar un paseo,Sport / stroll
MOTIVO_PRIORITARIO,Motivo prioritario del viaje,Priority reason for the trip,10. Asunto personal,10,Asunto personal,Personal matter
MOTIVO_PRIORITARIO,Motivo prioritario del viaje,Priority reason for the trip,11. Otro domicilio,11,Otro domicilio,another address
MOTIVO_PRIORITARIO,Motivo prioritario del viaje,Priority reason for the trip,12. Otros,12,Otros,Others
DISTANCIA_VIAJE,"Distancia, en kilometros, del origen al destino del viaje","Distance, in kilometers, from the source to the destination of the trip",,,,
MODO_PRIORITARIO,"Distancia, en kilometros, del origen al destino del viaje","Distance, in kilometers, from the source to the destination of the trip",1 '1. Renfe Cercanías ',1,Renfe Cercanías ',Cercanías'
MODO_PRIORITARIO,"Distancia, en kilometros, del origen al destino del viaje","Distance, in kilometers, from the source to the destination of the trip",2 '2. Autobus interurbano ',2,Autobus interurbano ',intercity bus'
MODO_PRIORITARIO,"Distancia, en kilometros, del origen al destino del viaje","Distance, in kilometers, from the source to the destination of the trip",3 '3. Autobus urbano otro municipio ',3,Autobus urbano otro municipio ',Urban bus another municipality '
MODO_PRIORITARIO,"Distancia, en kilometros, del origen al destino del viaje","Distance, in kilometers, from the source to the destination of the trip",4 '4. Metro ',4,Metro ',Meter '
MODO_PRIORITARIO,"Distancia, en kilometros, del origen al destino del viaje","Distance, in kilometers, from the source to the destination of the trip",5 '5. Metro ligero/tranvía ',5,Metro ligero/tranvía ',LRT / tram '
MODO_PRIORITARIO,"Distancia, en kilometros, del origen al destino del viaje","Distance, in kilometers, from the source to the destination of the trip",6 '6. Autobus urbano Madrid EMT ',6,Autobus urbano Madrid EMT ',Urban bus EMT Madrid '
MODO_PRIORITARIO,"Distancia, en kilometros, del origen al destino del viaje","Distance, in kilometers, from the source to the destination of the trip",7 '7. Resto renfe ',7,Resto renfe ',Rest renfe '
MODO_PRIORITARIO,"Distancia, en kilometros, del origen al destino del viaje","Distance, in kilometers, from the source to the destination of the trip",8 '8. Autobus discrecional ',8,Autobus discrecional ',discretionary bus'
MODO_PRIORITARIO,"Distancia, en kilometros, del origen al destino del viaje","Distance, in kilometers, from the source to the destination of the trip",9 '9. Autobus de largo recorrido ',9,Autobus de largo recorrido ',Bus long haul '
MODO_PRIORITARIO,"Distancia, en kilometros, del origen al destino del viaje","Distance, in kilometers, from the source to the destination of the trip",10 '10. Taxi ',10,Taxi ',Cab '
MODO_PRIORITARIO,"Distancia, en kilometros, del origen al destino del viaje","Distance, in kilometers, from the source to the destination of the trip",11 '11. Coche conductor particular',11,Coche conductor particular',particularly car driver '
MODO_PRIORITARIO,Modo prioritario del viaje,Priority mode of travel,12 '12. Coche conductor empresa',12,Coche conductor empresa',Company car driver '
MODO_PRIORITARIO,Modo prioritario del viaje,Priority mode of travel,13 '13. Coche conductor alquiler sin conductor',13,Coche conductor alquiler sin conductor',car driver self-drive '
MODO_PRIORITARIO,Modo prioritario del viaje,Priority mode of travel,14 '14. Coche pasajero particular',14,Coche pasajero particular',particularly passenger car '
MODO_PRIORITARIO,Modo prioritario del viaje,Priority mode of travel,15 '15. Coche pasajero empresa',15,Coche pasajero empresa',passenger car business'
MODO_PRIORITARIO,Modo prioritario del viaje,Priority mode of travel,16 '16. Coche pasajero alquiler con conductor',16,Coche pasajero alquiler con conductor',Passenger car rental with driver '
MODO_PRIORITARIO,Modo prioritario del viaje,Priority mode of travel,17 '17. Moto/ciclomotor particular',17,Moto/ciclomotor particular',Moto / moped including '
MODO_PRIORITARIO,Modo prioritario del viaje,Priority mode of travel,18 '18. Moto/ciclomotor publica',18,Moto/ciclomotor publica',Scooter / moped publishes'
MODO_PRIORITARIO,Modo prioritario del viaje,Priority mode of travel,19 '19. Moto/ciclomotor empresa',19,Moto/ciclomotor empresa',Scooter / moped company '
MODO_PRIORITARIO,Modo prioritario del viaje,Priority mode of travel,20 '20. Bicicleta particular',20,Bicicleta particular',Particularly bike '
MODO_PRIORITARIO,Modo prioritario del viaje,Priority mode of travel,21 '21. Bicicleta publica',21,Bicicleta publica',Bicycle publishes'
MODO_PRIORITARIO,Modo prioritario del viaje,Priority mode of travel,22 '22. Bicicleta empresa',22,Bicicleta empresa',Bicycle company '
MODO_PRIORITARIO,Modo prioritario del viaje,Priority mode of travel,23 '23. Otros ',23,Otros ',Others '
MODO_PRIORITARIO,Modo prioritario del viaje,Priority mode of travel,24 '24. Andando/pie ',24,Andando/pie ',Walking / standing '
ELE_G_POND_ESC2,Elevador de viajes,Travel lift,,,,
ELE_G_POND_ESC2,Elevador de viajes,Travel lift,,,,
ELE_G_POND_ESC2,Elevador de viajes,Travel lift,,,,
ID_HOGAR,Identificador del hogar,Home ID,,,,
ID_IND,Identificador del individuo,The individual identifier,,,,
ID_VIAJE,Identificador del viaje,ID journey,,,,
ID_ETAPA,Identificador de la etapa,Identifier stage,,,,
EMODO,Modo de transporte de la etapa,Transport mode stage,1.  Andando/ pie,1,  Andando/ pie,Walking / ft
EMODO,Modo de transporte de la etapa,Transport mode stage,2.  Bicicleta,2,  Bicicleta,Bicycle
EMODO,Modo de transporte de la etapa,Transport mode stage,3.  Moto/ciclomotor,3,  Moto/ciclomotor,Scooter / moped
EMODO,Modo de transporte de la etapa,Transport mode stage,4.  Metro,4,  Metro,Meter
EMODO,Modo de transporte de la etapa,Transport mode stage,5.  Renfe Cercanías,5,  Renfe Cercanías,RENFE
EMODO,Modo de transporte de la etapa,Transport mode stage,6.  Autobús urbano Madrid (EMT),6,  Autobús urbano Madrid (EMT),City bus Madrid (EMT)
EMODO,Modo de transporte de la etapa,Transport mode stage,7.  Resto Renfe,7,  Resto Renfe,Renfe rest
EMODO,Modo de transporte de la etapa,Transport mode stage,8.  Autobús interurbano,8,  Autobús interurbano,intercity bus
EMODO,Modo de transporte de la etapa,Transport mode stage,9.  Autobús urbano otro municipio,9,  Autobús urbano otro municipio,City bus another municipality
EMODO,Modo de transporte de la etapa,Transport mode stage,10.  Metro ligero/tranvía,10,  Metro ligero/tranvía,Light rail / tram
EMODO,Modo de transporte de la etapa,Transport mode stage,11.   Autobús discrecional,11,   Autobús discrecional,bus discretionary
EMODO,Modo de transporte de la etapa,Transport mode stage,12.  Autobús de largo recorrido,12,  Autobús de largo recorrido,Long bus tour
EMODO,Modo de transporte de la etapa,Transport mode stage,13.  Coche conductor,13,  Coche conductor,car driver
EMODO,Modo de transporte de la etapa,Transport mode stage,14.  Coche pasajero,14,  Coche pasajero,passenger car
EMODO,Modo de transporte de la etapa,Transport mode stage,15.  Taxi,15,  Taxi,Cab
EMODO,Modo de transporte de la etapa,Transport mode stage,16.  Otros,16,Otros,Others
EMODO1,Modo de transporte de la etapa. Bicicleta o moto/ciclomotor/Coche conductor o pasajero,Transport mode stage. Bicycle or motorcycle / moped / car driver or passenger,1. Particular,1,Particular,Particular
EMODO1,Modo de transporte de la etapa. Bicicleta o moto/ciclomotor/Coche conductor o pasajero,Transport mode stage. Bicycle or motorcycle / moped / car driver or passenger,2. Pública(Bicimad y similares),2,Pública(Bicimad y similares),Public (Bicimad and the like)
EMODO1,Modo de transporte de la etapa. Bicicleta o moto/ciclomotor/Coche conductor o pasajero,Transport mode stage. Bicycle or motorcycle / moped / car driver or passenger,3. De alquiler,3,De alquiler,Rental
EMODO1,Modo de transporte de la etapa. Bicicleta o moto/ciclomotor/Coche conductor o pasajero,Transport mode stage. Bicycle or motorcycle / moped / car driver or passenger,4. Particular,4,Particular,Particular
EMODO1,Modo de transporte de la etapa. Bicicleta o moto/ciclomotor/Coche conductor o pasajero,Transport mode stage. Bicycle or motorcycle / moped / car driver or passenger,5. Empresa,5,Empresa,Business
EMODO1,Modo de transporte de la etapa. Bicicleta o moto/ciclomotor/Coche conductor o pasajero,Transport mode stage. Bicycle or motorcycle / moped / car driver or passenger,6. Alquiler con conductor(Cabify/Uber/Otros),6,Alquiler con conductor(Cabify/Uber/Otros),Rental conductor (Cabify / Uber / Other)
EMODO1,Modo de transporte de la etapa. Bicicleta o moto/ciclomotor/Coche conductor o pasajero,Transport mode stage. Bicycle or motorcycle / moped / car driver or passenger,7. Alquiler sin conductor (Car2go/Emov/Otros),7,Alquiler sin conductor (Car2go/Emov/Otros),Self-drive (Car2go / Tumblr / Other)
MODO_PRIORITARIO,Modo de transporte de la etapa. Bicicleta o moto/ciclomotor/Coche conductor o pasajero,Transport mode stage. Bicycle or motorcycle / moped / car driver or passenger,1 '1. Renfe Cercanías ',1,Renfe Cercanías ',Cercanías'
MODO_PRIORITARIO,Modo de transporte de la etapa. Bicicleta o moto/ciclomotor/Coche conductor o pasajero,Transport mode stage. Bicycle or motorcycle / moped / car driver or passenger,2 '2. Autobus interurbano ',2,Autobus interurbano ',intercity bus'
MODO_PRIORITARIO,Modo de transporte de la etapa. Bicicleta o moto/ciclomotor/Coche conductor o pasajero,Transport mode stage. Bicycle or motorcycle / moped / car driver or passenger,3 '3. Autobus urbano otro municipio ',3,Autobus urbano otro municipio ',Urban bus another municipality '
MODO_PRIORITARIO,Modo de transporte de la etapa. Bicicleta o moto/ciclomotor/Coche conductor o pasajero,Transport mode stage. Bicycle or motorcycle / moped / car driver or passenger,4 '4. Metro ',4,Metro ',Meter '
MODO_PRIORITARIO,Modo de transporte de la etapa. Bicicleta o moto/ciclomotor/Coche conductor o pasajero,Transport mode stage. Bicycle or motorcycle / moped / car driver or passenger,5 '5. Metro ligero/tranvía ',5,Metro ligero/tranvía ',LRT / tram '
MODO_PRIORITARIO,Modo de transporte de la etapa. Bicicleta o moto/ciclomotor/Coche conductor o pasajero,Transport mode stage. Bicycle or motorcycle / moped / car driver or passenger,6 '6. Autobus urbano Madrid EMT ',6,Autobus urbano Madrid EMT ',Urban bus EMT Madrid '
MODO_PRIORITARIO,Modo de transporte de la etapa. Bicicleta o moto/ciclomotor/Coche conductor o pasajero,Transport mode stage. Bicycle or motorcycle / moped / car driver or passenger,7 '7. Resto renfe ',7,Resto renfe ',Rest renfe '
MODO_PRIORITARIO,Modo de transporte de la etapa. Bicicleta o moto/ciclomotor/Coche conductor o pasajero,Transport mode stage. Bicycle or motorcycle / moped / car driver or passenger,8 '8. Autobus discrecional ',8,Autobus discrecional ',discretionary bus'
MODO_PRIORITARIO,Modo de transporte de la etapa. Bicicleta o moto/ciclomotor/Coche conductor o pasajero,Transport mode stage. Bicycle or motorcycle / moped / car driver or passenger,9 '9. Autobus de largo recorrido ',9,Autobus de largo recorrido ',Bus long haul '
MODO_PRIORITARIO,Modo de transporte de la etapa. Bicicleta o moto/ciclomotor/Coche conductor o pasajero,Transport mode stage. Bicycle or motorcycle / moped / car driver or passenger,10 '10. Taxi ',10,Taxi ',Cab '
MODO_PRIORITARIO,Modo de transporte de la etapa. Bicicleta o moto/ciclomotor/Coche conductor o pasajero,Transport mode stage. Bicycle or motorcycle / moped / car driver or passenger,11 '11. Coche conductor particular',11,Coche conductor particular',particularly car driver '
MODO_PRIORITARIO,Modo prioritario del viaje,Priority mode of travel,12 '12. Coche conductor empresa',12,Coche conductor empresa',Company car driver '
MODO_PRIORITARIO,Modo prioritario del viaje,Priority mode of travel,13 '13. Coche conductor alquiler sin conductor',13,Coche conductor alquiler sin conductor',car driver self-drive '
MODO_PRIORITARIO,Modo prioritario del viaje,Priority mode of travel,14 '14. Coche pasajero particular',14,Coche pasajero particular',particularly passenger car '
MODO_PRIORITARIO,Modo prioritario del viaje,Priority mode of travel,15 '15. Coche pasajero empresa',15,Coche pasajero empresa',passenger car business'
MODO_PRIORITARIO,Modo prioritario del viaje,Priority mode of travel,16 '16. Coche pasajero alquiler con conductor',16,Coche pasajero alquiler con conductor',Passenger car rental with driver '
MODO_PRIORITARIO,Modo prioritario del viaje,Priority mode of travel,17 '17. Moto/ciclomotor particular',17,Moto/ciclomotor particular',Moto / moped including '
MODO_PRIORITARIO,Modo prioritario del viaje,Priority mode of travel,18 '18. Moto/ciclomotor publica',18,Moto/ciclomotor publica',Scooter / moped publishes'
MODO_PRIORITARIO,Modo prioritario del viaje,Priority mode of travel,19 '19. Moto/ciclomotor empresa',19,Moto/ciclomotor empresa',Scooter / moped company '
MODO_PRIORITARIO,Modo prioritario del viaje,Priority mode of travel,20 '20. Bicicleta particular',20,Bicicleta particular',Particularly bike '
MODO_PRIORITARIO,Modo prioritario del viaje,Priority mode of travel,21 '21. Bicicleta publica',21,Bicicleta publica',Bicycle publishes'
MODO_PRIORITARIO,Modo prioritario del viaje,Priority mode of travel,22 '22. Bicicleta empresa',22,Bicicleta empresa',Bicycle company '
MODO_PRIORITARIO,Modo prioritario del viaje,Priority mode of travel,23 '23. Otros ',23,Otros ',Others '
MODO_PRIORITARIO,Modo prioritario del viaje,Priority mode of travel,24 '24. Andando/pie ',24,Andando/pie ',Walking / standing '
MODO,Modo prioritario del viaje,Priority mode of travel,1 '1. Andando/pie ',1,Andando/pie ',Walking / standing '
MODO,Modo prioritario del viaje,Priority mode of travel,2 '2. Bicicleta particular',2,Bicicleta particular',Particularly bike '
MODO,Modo prioritario del viaje,Priority mode of travel,3 '3. Bicicleta publica',3,Bicicleta publica',Bicycle publishes'
MODO,Modo prioritario del viaje,Priority mode of travel,4 '4. Bicicleta empresa',4,Bicicleta empresa',Bicycle company '
MODO,Modo prioritario del viaje,Priority mode of travel,5 '5. Moto/ciclomotor particular',5,Moto/ciclomotor particular',Moto / moped including '
MODO,Modo prioritario del viaje,Priority mode of travel,6 '6. Moto/ciclomotor publica',6,Moto/ciclomotor publica',Scooter / moped publishes'
MODO,Modo prioritario del viaje,Priority mode of travel,7 '7. Moto/ciclomotor empresa',7,Moto/ciclomotor empresa',Scooter / moped company '
MODO,Modo prioritario del viaje,Priority mode of travel,8 '8. Metro ',8,Metro ',Meter '
MODO,Modo prioritario del viaje,Priority mode of travel,9 '9. Renfe Cercanías ',9,Renfe Cercanías ',Cercanías'
MODO,Modo prioritario del viaje,Priority mode of travel,10 '10. Autobus urbano Madrid EMT ',10,Autobus urbano Madrid EMT ',Urban bus EMT Madrid '
MODO,Modo prioritario del viaje,Priority mode of travel,11 '11. Resto renfe ',11,Resto renfe ',Rest renfe '
MODO,"Modo de transporte de la etapa, recodificado. ","Mode transport step, recoded.",12 '12. Autobus interurbano ',12,Autobus interurbano ',intercity bus'
MODO,"Modo de transporte de la etapa, recodificado. ","Mode transport step, recoded.",13 '13. Autobus urbano otro municipio ',13,Autobus urbano otro municipio ',Urban bus another municipality '
MODO,"Modo de transporte de la etapa, recodificado. ","Mode transport step, recoded.",14 '14. Metro ligero/tranvía ',14,Metro ligero/tranvía ',LRT / tram '
MODO,"Modo de transporte de la etapa, recodificado. ","Mode transport step, recoded.",15 '15. Autobus discrecional ',15,Autobus discrecional ',discretionary bus'
MODO,"Modo de transporte de la etapa, recodificado. ","Mode transport step, recoded.",16 '16. Autobus de largo recorrido ',16,Autobus de largo recorrido ',Bus long haul '
MODO,"Modo de transporte de la etapa, recodificado. ","Mode transport step, recoded.",17 '17. Coche conductor particular',17,Coche conductor particular',particularly car driver '
MODO,"Modo de transporte de la etapa, recodificado. ","Mode transport step, recoded.",18 '18. Coche conductor empresa',18,Coche conductor empresa',Company car driver '
MODO,"Modo de transporte de la etapa, recodificado. ","Mode transport step, recoded.",19 '19. Coche conductor alquiler sin conductor',19,Coche conductor alquiler sin conductor',car driver self-drive '
MODO,"Modo de transporte de la etapa, recodificado. ","Mode transport step, recoded.",20 '20. Coche pasajero particular',20,Coche pasajero particular',particularly passenger car '
MODO,"Modo de transporte de la etapa, recodificado. ","Mode transport step, recoded.",21 '21. Coche pasajero empresa',21,Coche pasajero empresa',passenger car business'
MODO,"Modo de transporte de la etapa, recodificado. ","Mode transport step, recoded.",22 '22. Coche pasajero alquiler con conductor',22,Coche pasajero alquiler con conductor',Passenger car rental with driver '
MODO,"Modo de transporte de la etapa, recodificado. ","Mode transport step, recoded.",23 '23. Taxi ',23,Taxi ',Cab '
MODO,"Modo de transporte de la etapa, recodificado. ","Mode transport step, recoded.",24 '24. Otros ',24,Otros ',Others '
ELINEAEMPRESA_ORIGINAL,Línea/Empresa de la etapa,Line / Stage Company,,,,
ESUBIDA,Estación de subida de la etapa,Station rising step,,,,
ESUBIDA_cod,Estación de subida de la etapa. Código,Station rising step. Code,,,,
EBAJADA,Estación de bajada de la etapa,Station downstream stage,,,,
EBAJADA_cod,Estación de bajada de la etapa. Código,Station downstream stage. Code,,,,
ETITULO,Título de transporte de la etapa,Title transport step,1.      Billete sencillo,1,      Billete sencillo,One-way ticket
ETITULO,Título de transporte de la etapa,Title transport step,2.      Billete 10 viajes,2,      Billete 10 viajes,10 trips ticket
ETITULO,Título de transporte de la etapa,Title transport step,3.      Abono transportes,3,      Abono transportes,Travel Pass
ETITULO,Título de transporte de la etapa,Title transport step,4.      Tarjeta Azul,4,      Tarjeta Azul,Blue card
ETITULO,Título de transporte de la etapa,Title transport step,5.      Mensual cercanías Renfe,5,      Mensual cercanías Renfe,Monthly Renfe
ETITULO,Título de transporte de la etapa,Title transport step,6.      Otros títulos,6,      Otros títulos,Other titles
EESTACIONA,Estacionamiento,Parking lot,"1.      En la calle, libre no regulado",1,"      En la calle, libre no regulado","On the street, free unregulated"
EESTACIONA,Estacionamiento,Parking lot,"2.      En la calle, libre regulado ",2,"      En la calle, libre regulado ","On the street, free regulated"
EESTACIONA,Estacionamiento,Parking lot,"3.      En la calle, regulado (pago anual, reside en esa zona)",3,"      En la calle, regulado (pago anual, reside en esa zona)","On the street, regulated (annual payment, resides in that area)"
EESTACIONA,Estacionamiento,Parking lot,4.      Aparcamiento propio,4,      Aparcamiento propio,own parking
EESTACIONA,Estacionamiento,Parking lot,5.      Aparcamiento alquilado,5,      Aparcamiento alquilado,Parking rented
EESTACIONA,Estacionamiento,Parking lot,6.      Aparcamiento empresa,6,      Aparcamiento empresa,Parking company
EESTACIONA,Estacionamiento,Parking lot,7.      Aparcamiento público de pago,7,      Aparcamiento público de pago,Public pay parking
EESTACIONA,Estacionamiento,Parking lot,8.      Plaza reservada minusválidos,8,      Plaza reservada minusválidos,Plaza reserved Disabled
EESTACIONA,Estacionamiento,Parking lot,9.      Otros,9,      Otros,Others
EOCUPACION,Ocupación del vehículo,Occupancy vehicle,,,,
ETDESPH,Tiempo de desplazamiento desde que aparca hasta el punto de destino,Travel time from you park to the point of destination,1 Menos de 5 minutos,,1 Menos de 5 minutos,
ETDESPH,Tiempo de desplazamiento desde que aparca hasta el punto de destino,Travel time from you park to the point of destination,2 De 5 a 10 minutos,,2 De 5 a 10 minutos,
ETDESPH,Tiempo de desplazamiento desde que aparca hasta el punto de destino,Travel time from you park to the point of destination,3 Más de 10 minutos,,3 Más de 10 minutos,
TIPO_ENCUESTA,Tiempo de desplazamiento desde que aparca hasta el punto de destino,Travel time from you park to the point of destination,,,,
COD_Mun_parada,Código del municipio de parada,Code Municipality stop,,,,
ELE_G_POND_ESC2,Elevador de viajes,Travel lift,,,,
